"Time","{gpu=""0"", instance=""10.42.1.27:9400""}"
2025-05-20 10:20:00,0.00413%
2025-05-20 10:21:00,0.00413%
2025-05-20 10:22:00,0.00413%
2025-05-20 10:23:00,0.00413%
2025-05-20 10:24:00,0.00413%
2025-05-20 10:25:00,0.00413%
2025-05-20 10:26:00,0.00413%
2025-05-20 10:27:00,0.00413%
2025-05-20 10:28:00,0.00413%
2025-05-20 10:29:00,0.00413%
2025-05-20 10:30:00,84.3%
2025-05-20 10:31:00,84.3%
2025-05-20 10:32:00,84.3%
2025-05-20 10:33:00,84.3%
2025-05-20 10:34:00,84.3%
2025-05-20 10:35:00,84.3%
2025-05-20 10:36:00,84.3%
2025-05-20 10:37:00,84.3%
2025-05-20 10:38:00,84.3%
2025-05-20 10:39:00,84.3%
2025-05-20 10:40:00,84.3%
2025-05-20 10:41:00,84.3%
2025-05-20 10:42:00,84.3%
2025-05-20 10:43:00,84.3%
2025-05-20 10:44:00,84.3%
2025-05-20 10:45:00,84.3%
2025-05-20 10:46:00,84.3%
2025-05-20 10:47:00,84.3%
2025-05-20 10:48:00,84.3%
2025-05-20 10:49:00,84.3%
2025-05-20 10:50:00,84.3%
2025-05-20 10:51:00,84.3%
2025-05-20 10:52:00,84.3%
2025-05-20 10:53:00,84.3%
2025-05-20 10:54:00,84.3%
2025-05-20 10:55:00,84.3%
2025-05-20 10:56:00,84.3%
2025-05-20 10:57:00,84.3%
2025-05-20 10:58:00,84.3%
2025-05-20 10:59:00,84.3%
2025-05-20 11:00:00,84.3%
2025-05-20 11:01:00,84.3%
2025-05-20 11:02:00,84.3%
2025-05-20 11:03:00,84.3%
2025-05-20 11:04:00,84.3%
2025-05-20 11:05:00,84.3%
2025-05-20 11:06:00,84.3%
2025-05-20 11:07:00,84.3%
2025-05-20 11:08:00,84.3%
2025-05-20 11:09:00,84.3%
2025-05-20 11:10:00,84.3%
2025-05-20 11:11:00,84.3%
2025-05-20 11:12:00,84.3%
2025-05-20 11:13:00,84.3%
2025-05-20 11:14:00,84.3%
2025-05-20 11:15:00,84.3%
2025-05-20 11:16:00,84.3%
2025-05-20 11:17:00,84.3%
2025-05-20 11:18:00,18.5%
2025-05-20 11:19:00,18.5%
2025-05-20 11:20:00,18.5%
2025-05-20 11:21:00,18.5%
2025-05-20 11:22:00,18.5%
2025-05-20 11:23:00,18.5%
2025-05-20 11:24:00,18.5%
2025-05-20 11:25:00,0.00413%
2025-05-20 11:26:00,0.00413%
2025-05-20 11:27:00,0.00413%
2025-05-20 11:28:00,0.00413%
2025-05-20 11:29:00,0.00413%
2025-05-20 11:30:00,0.00413%
2025-05-20 11:31:00,0.00413%
2025-05-20 11:32:00,0.00413%
2025-05-20 11:33:00,0.00413%
2025-05-20 11:34:00,0.00413%
2025-05-20 11:35:00,0.00413%
2025-05-20 11:36:00,0.00413%
2025-05-20 11:37:00,0.00413%
2025-05-20 11:38:00,0.00413%
2025-05-20 11:39:00,0.00413%
2025-05-20 11:40:00,0.00413%